epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,49,,0.0014490274479612708,,,,,
0,,99,,0.0014283620985224843,,,,,
0,,149,,0.0014282427728176117,,,,,
0,,199,,0.0015585279325023293,,,,,
0,,249,,0.0017309902468696237,,,,,
0,,299,,0.001471464871428907,,,,,
0,,349,,0.001528858207166195,,,,,
0,,399,,0.0015464253956452012,,,,,
0,,449,,0.001744268462061882,,,,,
0,,499,,0.0015152199193835258,,,,,
0,,549,,0.001601148396730423,,,,,
0,,599,,0.001578057068400085,,,,,
0,,649,,0.0015271035954356194,,,,,
0,,699,,0.0016340288566425443,,,,,
0,,749,,0.0014037316432222724,,,,,
0,,799,,0.0015241325600072742,,,,,
0,,849,,0.0017224419862031937,,,,,
0,,877,,,0.0016473946161568165,8.929756164550781,0.002348615089431405,1.7392603158950806,0.0011026561260223389
0,,877,0.001550897490233183,,,,,,
,0.001,878,,,,,,,
1,,899,,0.0014772753929719329,,,,,
1,,949,,0.001532465685158968,,,,,
1,,999,,0.0016354774124920368,,,,,
1,,1049,,0.0015069786459207535,,,,,
1,,1099,,0.001612770021893084,,,,,
1,,1149,,0.0017670788802206516,,,,,
1,,1199,,0.00151903519872576,,,,,
1,,1249,,0.0014039939269423485,,,,,
1,,1299,,0.0014203605242073536,,,,,
1,,1349,,0.0017078487435355783,,,,,
1,,1399,,0.0016012880951166153,,,,,
1,,1449,,0.001542397658340633,,,,,
1,,1499,,0.0014853720786049962,,,,,
1,,1549,,0.0014107519527897239,,,,,
1,,1599,,0.0015387000748887658,,,,,
1,,1649,,0.001498455530963838,,,,,
1,,1699,,0.0015748292207717896,,,,,
1,,1749,,0.0016298978589475155,,,,,
1,,1755,,,0.0016438921447843313,8.194613456726074,0.0023452485911548138,1.7586064338684082,0.0010896144667640328
1,,1755,0.001534826122224331,,,,,,
,0.001,1756,,,,,,,
2,,1799,,0.0016787758795544505,,,,,
2,,1849,,0.0016129636205732822,,,,,
2,,1899,,0.0016982360975816846,,,,,
2,,1949,,0.0014689111849293113,,,,,
2,,1999,,0.0014870623126626015,,,,,
2,,2049,,0.0015019533457234502,,,,,
2,,2099,,0.001437526778317988,,,,,
2,,2149,,0.001580248586833477,,,,,
